ID,Week,Block,Color,Environment,Generation,N0,Census,Check,Person,notes
45,30,1,blue,0.95,1,40,85,,,
46,30,1,blue,0.95,1,40,101,,,
47,30,1,blue,0.95,1,40,96,,,
48,30,1,blue,0.95,1,40,,,,
49,30,1,blue,0.95,1,40,97,,,
50,30,1,blue,0.95,1,40,,,,
1,30,2,green,100,0,40,139,,,
2,30,2,green,100,0,40,168,,,
3,30,2,green,100,0,40,106,,,
4,30,2,green,100,0,40,139,,,
5,30,2,green,100,0,40,134,,,
6,30,2,green,100,0,40,125,,,
7,30,2,green,100,0,40,132,,,
8,30,2,green,100,0,40,146,,,
9,30,2,green,100,0,40,123,,,
10,30,2,green,100,0,40,159,,,
11,30,2,green,100,0,40,142,,,
12,30,2,green,100,0,40,161,,,
13,30,2,green,100,0,40,154,,,
14,30,2,green,100,0,40,151,,,
15,30,2,green,100,0,40,148,,,
16,30,2,green,0.95,1,40,75,,,
17,30,2,green,0.95,1,40,,,,
18,30,2,green,0.95,1,40,99,,,
19,30,2,green,0.95,1,40,47,,,
20,30,2,green,0.95,1,40,88,,,
21,30,2,green,0.95,1,40,,,,
22,30,2,green,0.95,1,40,67,,,
23,30,2,green,0.95,1,40,78,,,
24,30,2,green,0.95,1,40,86,,,
25,30,2,green,0.95,1,40,,,,
26,30,2,green,0.95,1,40,111,,,
27,30,2,green,0.95,1,40,110,,,
28,30,2,green,0.95,1,40,87,,,
29,30,2,green,0.95,1,40,,,,
30,30,2,green,0.95,1,40,,,,
31,30,2,green,0.95,1,40,88,,,
32,30,2,green,0.95,1,40,,,,
33,30,2,green,0.95,1,40,,,,
34,30,2,green,0.95,1,40,,,,
35,30,2,green,0.95,1,40,,,,
36,30,2,green,0.95,1,40,,,,
37,30,2,green,0.95,1,40,,,,
38,30,2,green,0.95,1,40,77,,,
39,30,2,green,0.95,1,40,,,,
40,30,2,green,0.95,1,40,,,,
41,30,2,green,0.95,1,40,91,,,
42,30,2,green,0.95,1,40,,,,
43,30,2,green,0.95,1,40,100,,,
44,30,2,green,0.95,1,40,,,,
45,30,2,green,0.95,1,40,98,,,
46,30,2,green,0.95,1,40,,,,
47,30,2,green,0.95,1,40,,,,
48,30,2,green,0.95,1,40,,,,
49,30,2,green,0.95,1,40,,,,
50,30,2,green,0.95,1,40,,,,
1,31,3,pink,100,0,40,119,,,
2,31,3,pink,100,0,40,150,,,
3,31,3,pink,100,0,40,137,,,
4,31,3,pink,100,0,40,151,,,
5,31,3,pink,100,0,40,155,,,
6,31,3,pink,100,0,40,147,,,
7,31,3,pink,100,0,40,124,,,
8,31,3,pink,100,0,40,147,,,
9,31,3,pink,100,0,40,162,,,
10,31,3,pink,100,0,40,153,,,
11,31,3,pink,100,0,40,105,,,
12,31,3,pink,100,0,40,130,,,
13,31,3,pink,100,0,40,147,,,
14,31,3,pink,100,0,40,115,,,
15,31,3,pink,100,0,40,156,,,
16,31,3,pink,0.95,1,40,94,,,
17,31,3,pink,0.95,1,40,,,,
18,31,3,pink,0.95,1,40,,,,
19,31,3,pink,0.95,1,40,88,,,
20,31,3,pink,0.95,1,40,,,,
21,31,3,pink,0.95,1,40,80,,,
22,31,3,pink,0.95,1,40,,,,
23,31,3,pink,0.95,1,40,77,,,
24,31,3,pink,0.95,1,40,65,,,
25,31,3,pink,0.95,1,40,117,,,
26,31,3,pink,0.95,1,40,,,,
27,31,3,pink,0.95,1,40,,,,
28,31,3,pink,0.95,1,40,81,,,
29,31,3,pink,0.95,1,40,,,,
30,31,3,pink,0.95,1,40,,,,
31,31,3,pink,0.95,1,40,,,,
32,31,3,pink,0.95,1,40,66,,,
33,31,3,pink,0.95,1,40,,,,
34,31,3,pink,0.95,1,40,69,,,
35,31,3,pink,0.95,1,40,77,,,
36,31,3,pink,0.95,1,40,61,,,
37,31,3,pink,0.95,1,40,,,,
38,31,3,pink,0.95,1,40,,,,
39,31,3,pink,0.95,1,40,63,,,
40,31,3,pink,0.95,1,40,,,,
41,31,3,pink,0.95,1,40,65,,,
42,31,3,pink,0.95,1,40,,,,
43,31,3,pink,0.95,1,40,,,,
44,31,3,pink,0.95,1,40,72,,,
45,31,3,pink,0.95,1,40,81,,,
46,31,3,pink,0.95,1,40,,,,
47,31,3,pink,0.95,1,40,,,,
48,31,3,pink,0.95,1,40,,,,
49,31,3,pink,0.95,1,40,,,,
50,31,3,pink,0.95,1,40,,,,
1,31,4,yellow,100,0,40,95,,,
2,31,4,yellow,100,0,40,112,,,
3,31,4,yellow,100,0,40,109,,,
4,31,4,yellow,100,0,40,130,,,
5,31,4,yellow,100,0,40,106,,,
6,31,4,yellow,100,0,40,148,,,
7,31,4,yellow,100,0,40,103,,,
8,31,4,yellow,100,0,40,136,,,
9,31,4,yellow,100,0,40,129,,,
10,31,4,yellow,100,0,40,106,,,
11,31,4,yellow,100,0,40,62,,,
12,31,4,yellow,100,0,40,130,,,
13,31,4,yellow,100,0,40,126,,,
14,31,4,yellow,100,0,40,110,,,
15,31,4,yellow,100,0,40,102,,,
16,31,4,yellow,0.95,1,40,,,,
17,31,4,yellow,0.95,1,40,,,,
18,31,4,yellow,0.95,1,40,60,,,
19,31,4,yellow,0.95,1,40,,,,
20,31,4,yellow,0.95,1,40,,,,
21,31,4,yellow,0.95,1,40,34,,,
22,31,4,yellow,0.95,1,40,55,,,
23,31,4,yellow,0.95,1,40,64,,,
24,31,4,yellow,0.95,1,40,,,,
25,31,4,yellow,0.95,1,40,,,,
26,31,4,yellow,0.95,1,40,,,,
27,31,4,yellow,0.95,1,40,,,,
28,31,4,yellow,0.95,1,40,50,,,
29,31,4,yellow,0.95,1,40,29,,,
30,31,4,yellow,0.95,1,40,63,,,
31,31,4,yellow,0.95,1,40,67,,,
32,31,4,yellow,0.95,1,40,,,,
33,31,4,yellow,0.95,1,40,,,,
34,31,4,yellow,0.95,1,40,,,,
35,31,4,yellow,0.95,1,40,72,,,
36,31,4,yellow,0.95,1,40,,,,
37,31,4,yellow,0.95,1,40,,,,
38,31,4,yellow,0.95,1,40,,,,
39,31,4,yellow,0.95,1,40,64,,,
40,31,4,yellow,0.95,1,40,,,,
41,31,4,yellow,0.95,1,40,104,,,
42,31,4,yellow,0.95,1,40,,,,
