Person,Date,Box,Census,Check,Notes
JAR,20140423,1,6,6,
JAR,20140423,2,12,12,
JAR,20140423,3,13,13,
JAR,20140423,4,6,6,
JAR,20140423,5,19,19,
JAR,20140423,6,39,39,
JAR,20140423,7,36,36,
JAR,20140423,8,33,33,
JAR,20140423,9,38,38,
JAR,20140423,10,30,30,
JAR,20140423,11,144,144,
JAR,20140423,12,200,200,
JAR,20140423,13,175,175,
JAR,20140423,14,165,165,
JAR,20140423,15,180,180,
SBE,20140423,1,6,6
SBE,20140423,2,12,12
SBE,20140423,3,13,13
SBE,20140423,4,6,6
SBE,20140423,5,19,19
SBE,20140423,6,39,39
SBE,20140423,7,36,36
SBE,20140423,8,33,33
SBE,20140423,9,38,38
SBE,20140423,10,30,30
SBE,20140423,11,144,144
SBE,20140423,12,204,204
SBE,20140423,13,175,175
SBE,20140423,14,165,165
SBE,20140423,15,178,178
CAH,20140424,1,6,6
CAH,20140424,2,12,12
CAH,20140424,3,13,13
CAH,20140424,4,6,6
CAH,20140424,5,18,18
CAH,20140424,6,39,39
CAH,20140424,7,36,36
CAH,20140424,8,33,33
CAH,20140424,9,38,38
CAH,20140424,10,30,30
CAH,20140424,11,144,144
CAH,20140424,12,203,203
CAH,20140424,13,175,175
CAH,20140424,14,165,165
CAH,20140424,15,180,180
KRA,20140424,1,6,6
KRA,20140424,2,12,12
KRA,20140424,3,13,13
KRA,20140424,4,6,6
KRA,20140424,5,19,19
KRA,20140424,6,39,39
KRA,20140424,7,36,36
KRA,20140424,8,33,33
KRA,20140424,9,38,38
KRA,20140424,10,30,30
KRA,20140424,11,144,144
KRA,20140424,12,203,203
KRA,20140424,13,175,175
KRA,20140424,14,165,165
KRA,20140424,15,180,180
MFO,20140428,1,6,6
MFO,20140428,2,12,12
MFO,20140428,3,13,13
MFO,20140428,4,6,6
MFO,20140428,5,19,19
MFO,20140428,6,39,39
MFO,20140428,7,36,36
MFO,20140428,8,33,33
MFO,20140428,9,38,38
MFO,20140428,10,30,30
MFO,20140428,11,144,144
MFO,20140428,12,203,203
MFO,20140428,13,174,174
MFO,20140428,14,165,165
MFO,20140428,15,180,180
RAH,20140429,1,6,6
RAH,20140429,2,12,12
RAH,20140429,3,13,13
RAH,20140429,4,6,6
RAH,20140429,5,19,19,
RAH,20140429,6,39,39,
RAH,20140429,7,36,36,
RAH,20140429,8,33,33,
RAH,20140429,9,38,38,
RAH,20140429,10,30,30,
RAH,20140429,11,144,144,
RAH,20140429,12,203,203,
RAH,20140429,13,176,176,
RAH,20140429,14,,,"Got 175, but noted that she was distracted listening to someone talking and would have recounted during an experiment"
RAH,20140429,15,180,180,
MS,20140501,1,6,6,
MS,20140501,2,12,12,
MS,20140501,3,13,13,
MS,20140501,4,6,6,
MS,20140501,5,19,19,
MS,20140501,6,39,39
MS,20140501,7,36,36
MS,20140501,8,33,33
MS,20140501,9,37,37
MS,20140501,10,30,30
MS,20140501,11,144,144
MS,20140501,12,203,203
MS,20140501,13,175,175
MS,20140501,14,164,164
MS,20140501,15,183,183
MJK,20140501,1,6,6
MJK,20140501,2,12,12
MJK,20140501,3,13,13
MJK,20140501,4,6,6
MJK,20140501,5,19,19
MJK,20140501,6,39,39
MJK,20140501,7,35,35
MJK,20140501,8,33,33
MJK,20140501,9,37,37
MJK,20140501,10,30,30
MJK,20140501,11,144,144
MJK,20140501,12,203,203
MJK,20140501,13,175,175
MJK,20140501,14,164,164
MJK,20140501,15,180,180
