size,number,extant_prop_after_5,extant_prop_after_6,extant_prop_after_7,extant_prop_after_8,extant_prop_after_9,extant_prop_after_10,extant_prop_after_11,extant_prop_after_12,extant_prop_after_13,extant_prop_after_14,extant_prop_after_15,extant_prop_after_16,extant_prop_after_17,extant_prop_after_18,extant_prop_after_19,extant_prop_after_20,extant_prop_after_21,extant_prop_after_22,extant_prop_after_23,extant_prop_after_24,extant_prop_after_25,extant_prop_after_26,extant_prop_after_27,extant_prop_after_28,extant_prop_after_29,extant_prop_after_30,extant_prop_after_31,extant_prop_after_32,extant_prop_after_33,extant_prop_after_34,extant_prop_after_35,extant_prop_after_36,extant_prop_after_37,extant_prop_after_38,extant_prop_after_39,extant_prop_after_40,extant_prop_after_41,extant_prop_after_42,extant_prop_after_43,extant_prop_after_44,extant_prop_after_45,extant_prop_after_46,extant_prop_after_47,extant_prop_after_48,extant_prop_after_49,extant_prop_after_50,extant_prop_after_5_var,extant_prop_after_6_var,extant_prop_after_7_var,extant_prop_after_8_var,extant_prop_after_9_var,extant_prop_after_10_var,extant_prop_after_11_var,extant_prop_after_12_var,extant_prop_after_13_var,extant_prop_after_14_var,extant_prop_after_15_var,extant_prop_after_16_var,extant_prop_after_17_var,extant_prop_after_18_var,extant_prop_after_19_var,extant_prop_after_20_var,extant_prop_after_21_var,extant_prop_after_22_var,extant_prop_after_23_var,extant_prop_after_24_var,extant_prop_after_25_var,extant_prop_after_26_var,extant_prop_after_27_var,extant_prop_after_28_var,extant_prop_after_29_var,extant_prop_after_30_var,extant_prop_after_31_var,extant_prop_after_32_var,extant_prop_after_33_var,extant_prop_after_34_var,extant_prop_after_35_var,extant_prop_after_36_var,extant_prop_after_37_var,extant_prop_after_38_var,extant_prop_after_39_var,extant_prop_after_40_var,extant_prop_after_41_var,extant_prop_after_42_var,extant_prop_after_43_var,extant_prop_after_44_var,extant_prop_after_45_var,extant_prop_after_46_var,extant_prop_after_47_var,extant_prop_after_48_var,extant_prop_after_49_var,extant_prop_after_50_var,N_after5,N_after6,N_after7,N_after8,N_after9,N_after10,N_after11,N_after12,N_after13,N_after14,N_after15,N_after16,N_after17,N_after18,N_after19,N_after20,N_after21,N_after22,N_after23,N_after24,N_after25,N_after26,N_after27,N_after28,N_after29,N_after30,N_after31,N_after32,N_after33,N_after34,N_after35,N_after36,N_after37,N_after38,N_after39,N_after40,N_after41,N_after42,N_after43,N_after44,N_after45,N_after46,N_after47,N_after48,N_after49,N_after50,N_after5_var,N_after6_var,N_after7_var,N_after8_var,N_after9_var,N_after10_var,N_after11_var,N_after12_var,N_after13_var,N_after14_var,N_after15_var,N_after16_var,N_after17_var,N_after18_var,N_after19_var,N_after20_var,N_after21_var,N_after22_var,N_after23_var,N_after24_var,N_after25_var,N_after26_var,N_after27_var,N_after28_var,N_after29_var,N_after30_var,N_after31_var,N_after32_var,N_after33_var,N_after34_var,N_after35_var,N_after36_var,N_after37_var,N_after38_var,N_after39_var,N_after40_var,N_after41_var,N_after42_var,N_after43_var,N_after44_var,N_after45_var,N_after46_var,N_after47_var,N_after48_var,N_after49_var,N_after50_var,extant_prop_1after,extant_prop_2after,extant_prop_3after,extant_prop_4after,extant_prop_5after,extant_prop_6after,extant_prop_7after,extant_prop_8after,extant_prop_9after,extant_prop_10after,extant_prop_11after,extant_prop_12after,extant_prop_13after,extant_prop_14after,extant_prop_15after,extant_prop_16after,extant_prop_17after,extant_prop_18after,extant_prop_19after,extant_prop_20after,extant_prop_21after,extant_prop_22after,extant_prop_23after,extant_prop_24after,extant_prop_25after,extant_prop_26after,extant_prop_27after,extant_prop_28after,extant_prop_29after,extant_prop_30after,extant_prop_31after,extant_prop_32after,extant_prop_33after,extant_prop_34after,extant_prop_35after,extant_prop_36after,extant_prop_37after,extant_prop_38after,extant_prop_39after,extant_prop_40after,extant_prop_41after,extant_prop_42after,extant_prop_43after,extant_prop_44after,extant_prop_45after,extant_prop_46after,extant_prop_1after_var,extant_prop_2after_var,extant_prop_3after_var,extant_prop_4after_var,extant_prop_5after_var,extant_prop_6after_var,extant_prop_7after_var,extant_prop_8after_var,extant_prop_9after_var,extant_prop_10after_var,extant_prop_11after_var,extant_prop_12after_var,extant_prop_13after_var,extant_prop_14after_var,extant_prop_15after_var,extant_prop_16after_var,extant_prop_17after_var,extant_prop_18after_var,extant_prop_19after_var,extant_prop_20after_var,extant_prop_21after_var,extant_prop_22after_var,extant_prop_23after_var,extant_prop_24after_var,extant_prop_25after_var,extant_prop_26after_var,extant_prop_27after_var,extant_prop_28after_var,extant_prop_29after_var,extant_prop_30after_var,extant_prop_31after_var,extant_prop_32after_var,extant_prop_33after_var,extant_prop_34after_var,extant_prop_35after_var,extant_prop_36after_var,extant_prop_37after_var,extant_prop_38after_var,extant_prop_39after_var,extant_prop_40after_var,extant_prop_41after_var,extant_prop_42after_var,extant_prop_43after_var,extant_prop_44after_var,extant_prop_45after_var,extant_prop_46after_var,N_1after,N_2after,N_3after,N_4after,N_5after,N_6after,N_7after,N_8after,N_9after,N_10after,N_11after,N_12after,N_13after,N_14after,N_15after,N_16after,N_17after,N_18after,N_19after,N_20after,N_21after,N_22after,N_23after,N_24after,N_25after,N_26after,N_27after,N_28after,N_29after,N_30after,N_31after,N_32after,N_33after,N_34after,N_35after,N_36after,N_37after,N_38after,N_39after,N_40after,N_41after,N_42after,N_43after,N_44after,N_45after,N_46after,N_1after_var,N_2after_var,N_3after_var,N_4after_var,N_5after_var,N_6after_var,N_7after_var,N_8after_var,N_9after_var,N_10after_var,N_11after_var,N_12after_var,N_13after_var,N_14after_var,N_15after_var,N_16after_var,N_17after_var,N_18after_var,N_19after_var,N_20after_var,N_21after_var,N_22after_var,N_23after_var,N_24after_var,N_25after_var,N_26after_var,N_27after_var,N_28after_var,N_29after_var,N_30after_var,N_31after_var,N_32after_var,N_33after_var,N_34after_var,N_35after_var,N_36after_var,N_37after_var,N_38after_var,N_39after_var,N_40after_var,N_41after_var,N_42after_var,N_43after_var,N_44after_var,N_45after_var,N_46after_var
20,1,0.818414,0.75129,0.68808,0.628578,0.574032,0.523518,0.477804,0.435296,0.397072,0.361886,0.329918,0.300978,0.273998,0.249674,0.22758,0.207308,0.189034,0.172068,0.156574,0.142858,0.130106,0.11855,0.108058,0.098386,0.089788,0.081766,0.074346,0.067754,0.06157,0.056114,0.051112,0.046306,0.042146,0.038404,0.035082,0.032006,0.029128,0.02664,0.024228,0.022198,0.020252,0.018476,0.016854,0.015378,0.013998,0.012686,0.808904,0.740318,0.675396,0.615338,0.560036,0.508876,0.46276,0.420608,0.381668,0.34693,0.315156,0.28616,0.259918,0.23633,0.21461,0.195192,0.177122,0.160892,0.146402,0.132798,0.120752,0.109704,0.09979,0.090668,0.082318,0.074712,0.067726,0.061622,0.05605,0.050822,0.046066,0.041708,0.037922,0.034384,0.031346,0.02843,0.025738,0.023386,0.021226,0.01924,0.017344,0.015806,0.014332,0.01308,0.011878,0.01077,16.30249483,16.17065581,16.05322346,16.03111786,16.0008989,15.95687254,15.9217043,15.91589172,15.92093625,15.933001,15.93018871,15.88459622,15.8964883,15.89757844,15.89323315,15.90222278,15.85945385,15.88370877,15.88155122,15.89280264,15.86938343,15.88325601,15.90047937,15.87319334,15.86118412,15.80309664,15.84265461,15.82669658,15.87389963,15.79691343,15.74299577,15.96091219,16.02913681,16.04702635,16.0717747,16.06136349,15.90627575,15.86141141,15.97350173,15.96161816,15.94380802,16.00238147,16.05363712,15.89881649,15.7861123,15.81538704,16.35375026,16.18717092,16.11069358,16.056096,15.9950896,15.97185562,15.94474025,15.93431889,15.95227266,15.94597181,15.94186371,15.94251468,15.95190021,15.93174798,15.9329295,15.95775442,15.92676234,15.93912687,15.90217347,15.95123421,15.92785213,15.94359367,15.93782944,15.92705254,15.88048786,15.98243923,15.96429732,15.96050112,15.84899197,15.86800992,15.953241,15.99098494,15.83750857,15.81124942,15.7874689,15.81111502,15.9949491,15.95783802,15.84094978,15.97869023,16.25668819,16.12134632,15.99190622,15.96253823,15.88466072,16.18755803,0.999734,0.987618,0.946592,0.886276,0.818414,0.75129,0.68808,0.628578,0.574032,0.523518,0.477804,0.435296,0.397072,0.361886,0.329918,0.300978,0.273998,0.249674,0.22758,0.207308,0.189034,0.172068,0.156574,0.142858,0.130106,0.11855,0.108058,0.098386,0.089788,0.081766,0.074346,0.067754,0.06157,0.056114,0.051112,0.046306,0.042146,0.038404,0.035082,0.032006,0.029128,0.02664,0.024228,0.022198,0.020252,0.018476,0.99974,0.986652,0.942412,0.878548,0.808904,0.740318,0.675396,0.615338,0.560036,0.508876,0.46276,0.420608,0.381668,0.34693,0.315156,0.28616,0.259918,0.23633,0.21461,0.195192,0.177122,0.160892,0.146402,0.132798,0.120752,0.109704,0.09979,0.090668,0.082318,0.074712,0.067726,0.061622,0.05605,0.050822,0.046066,0.041708,0.037922,0.034384,0.031346,0.02843,0.025738,0.023386,0.021226,0.01924,0.017344,0.015806,19.00550746,17.81930868,17.02434417,16.55980755,16.30249483,16.17065581,16.05322346,16.03111786,16.0008989,15.95687254,15.9217043,15.91589172,15.92093625,15.933001,15.93018871,15.88459622,15.8964883,15.89757844,15.89323315,15.90222278,15.85945385,15.88370877,15.88155122,15.89280264,15.86938343,15.88325601,15.90047937,15.87319334,15.86118412,15.80309664,15.84265461,15.82669658,15.87389963,15.79691343,15.74299577,15.96091219,16.02913681,16.04702635,16.0717747,16.06136349,15.90627575,15.86141141,15.97350173,15.96161816,15.94380802,16.00238147,19.01524396,17.81241208,17.02812358,16.57161589,16.35375026,16.18717092,16.11069358,16.056096,15.9950896,15.97185562,15.94474025,15.93431889,15.95227266,15.94597181,15.94186371,15.94251468,15.95190021,15.93174798,15.9329295,15.95775442,15.92676234,15.93912687,15.90217347,15.95123421,15.92785213,15.94359367,15.93782944,15.92705254,15.88048786,15.98243923,15.96429732,15.96050112,15.84899197,15.86800992,15.953241,15.99098494,15.83750857,15.81124942,15.7874689,15.81111502,15.9949491,15.95783802,15.84094978,15.97869023,16.25668819,16.12134632
10,2,0.864698,0.799892,0.735486,0.674652,0.617264,0.564314,0.514876,0.470082,0.428798,0.390958,0.356072,0.324946,0.296124,0.269816,0.245972,0.224252,0.20436,0.186328,0.17002,0.154772,0.14091,0.128282,0.116998,0.106334,0.096832,0.08817,0.080196,0.073038,0.06657,0.060632,0.055208,0.050216,0.045734,0.041688,0.03802,0.03465,0.031636,0.028668,0.026084,0.023744,0.021682,0.019724,0.01795,0.016312,0.014886,0.013548,0.858176,0.79163,0.725544,0.66283,0.60486,0.550434,0.501064,0.45532,0.414198,0.376586,0.341882,0.310322,0.28168,0.255758,0.232044,0.210342,0.191046,0.173354,0.157386,0.14283,0.129788,0.117986,0.106972,0.097046,0.08798,0.079906,0.072524,0.065698,0.0597,0.054218,0.049342,0.044676,0.040524,0.03681,0.03356,0.030436,0.027588,0.02509,0.022768,0.0206,0.01877,0.017056,0.015478,0.014134,0.01279,0.011602,16.84280755,16.49772719,16.30731788,16.15739077,16.07883499,16.01721382,15.98044966,15.92167324,15.90021875,15.91418004,15.92475679,15.94065475,15.94378031,15.9339624,15.89802091,15.89757059,15.86855549,15.85451462,15.82558523,15.82384411,15.86494926,15.84750783,15.77849194,15.82682867,15.80436219,15.85509811,15.89727667,15.8649744,15.86288118,15.9268703,15.91004927,15.8775689,15.89548257,15.83755517,15.8811152,15.86124098,15.73884183,15.86040184,16.01357154,15.97127695,15.85969929,15.96096127,15.89738162,16.08484551,15.83662502,15.80277532,16.86995208,16.53387567,16.31660382,16.17346529,16.08029296,16.03703986,15.96962065,15.93925152,15.86817899,15.86174207,15.8551196,15.86472116,15.85651093,15.85003011,15.84895106,15.8434074,15.87158067,15.8812257,15.89445059,15.90429182,15.90408975,15.88932585,15.86589014,15.84829874,15.93409866,15.88368833,15.89818543,15.96413894,15.9039866,15.90781659,15.85484982,15.94372818,15.89389004,15.97669112,15.83742551,15.74996714,15.81600696,15.84599442,15.91259663,15.95708738,15.97144379,15.90185272,15.94766766,15.89684449,16.00344019,15.82244441,0.998228,0.97397,0.925658,0.864698,0.799892,0.735486,0.674652,0.617264,0.564314,0.514876,0.470082,0.428798,0.390958,0.356072,0.324946,0.296124,0.269816,0.245972,0.224252,0.20436,0.186328,0.17002,0.154772,0.14091,0.128282,0.116998,0.106334,0.096832,0.08817,0.080196,0.073038,0.06657,0.060632,0.055208,0.050216,0.045734,0.041688,0.03802,0.03465,0.031636,0.028668,0.026084,0.023744,0.021682,0.019724,0.01795,0.998094,0.972542,0.921948,0.858176,0.79163,0.725544,0.66283,0.60486,0.550434,0.501064,0.45532,0.414198,0.376586,0.341882,0.310322,0.28168,0.255758,0.232044,0.210342,0.191046,0.173354,0.157386,0.14283,0.129788,0.117986,0.106972,0.097046,0.08798,0.079906,0.072524,0.065698,0.0597,0.054218,0.049342,0.044676,0.040524,0.03681,0.03356,0.030436,0.027588,0.02509,0.022768,0.0206,0.01877,0.017056,0.015478,19.65869721,18.25660544,17.36772328,16.84280755,16.49772719,16.30731788,16.15739077,16.07883499,16.01721382,15.98044966,15.92167324,15.90021875,15.91418004,15.92475679,15.94065475,15.94378031,15.9339624,15.89802091,15.89757059,15.86855549,15.85451462,15.82558523,15.82384411,15.86494926,15.84750783,15.77849194,15.82682867,15.80436219,15.85509811,15.89727667,15.8649744,15.86288118,15.9268703,15.91004927,15.8775689,15.89548257,15.83755517,15.8811152,15.86124098,15.73884183,15.86040184,16.01357154,15.97127695,15.85969929,15.96096127,15.89738162,19.70699353,18.27666877,17.3752793,16.86995208,16.53387567,16.31660382,16.17346529,16.08029296,16.03703986,15.96962065,15.93925152,15.86817899,15.86174207,15.8551196,15.86472116,15.85651093,15.85003011,15.84895106,15.8434074,15.87158067,15.8812257,15.89445059,15.90429182,15.90408975,15.88932585,15.86589014,15.84829874,15.93409866,15.88368833,15.89818543,15.96413894,15.9039866,15.90781659,15.85484982,15.94372818,15.89389004,15.97669112,15.83742551,15.74996714,15.81600696,15.84599442,15.91259663,15.95708738,15.97144379,15.90185272,15.94766766
5,4,0.934018,0.868768,0.801812,0.736902,0.675136,0.618096,0.564842,0.515742,0.470386,0.42888,0.391326,0.356854,0.32495,0.296218,0.27034,0.246256,0.224592,0.204624,0.186336,0.169518,0.15446,0.140698,0.128238,0.116728,0.106264,0.096998,0.088502,0.080404,0.073232,0.066564,0.060558,0.055264,0.05032,0.045756,0.041812,0.038114,0.03467,0.031698,0.028946,0.026278,0.024006,0.021876,0.019906,0.018206,0.016584,0.015156,0.930716,0.863006,0.794122,0.72732,0.664226,0.605276,0.551188,0.501418,0.45625,0.414584,0.376572,0.341892,0.31032,0.281842,0.256244,0.232844,0.211436,0.192052,0.174346,0.158176,0.14393,0.130862,0.1191,0.108224,0.098228,0.08927,0.081238,0.07388,0.067026,0.060718,0.055278,0.050058,0.045552,0.041388,0.037606,0.034138,0.030988,0.028206,0.025684,0.023342,0.021254,0.01939,0.01755,0.01587,0.014504,0.01308,17.36490089,16.87913919,16.55971225,16.32823361,16.20599109,16.11704007,16.04612617,15.9968046,15.93792332,15.93071722,15.91064228,15.9036805,15.93413756,15.94897677,15.96148554,15.97628484,15.91869702,15.90617914,15.89679933,15.90016399,15.89010747,15.88935166,15.7948346,15.83368172,15.85784461,15.82861502,15.79864862,15.80045769,15.86732576,15.77630551,15.83391129,15.80189635,15.91335453,15.92862138,15.83602793,15.85223278,15.96509951,15.84036848,15.7746148,15.82502474,15.88252937,15.91150119,15.95599317,15.9351862,15.95272552,16.02784376,17.30139591,16.82007541,16.50597767,16.28971292,16.14038294,16.05604385,16.02085314,15.98746754,15.93510575,15.89578469,15.89581275,15.88218502,15.89372905,15.92776094,15.91238039,15.89534624,15.91157608,15.94081811,15.98873504,15.98609144,15.98804975,16.01600159,15.99684299,16.02051301,15.98022967,15.89837571,15.87722494,15.9783974,15.8947871,15.96860898,15.9228988,15.95333413,15.92983843,15.9335073,15.83050577,15.89958404,15.9723764,15.98574771,15.90538857,15.89015509,15.84351181,15.86952037,15.88752137,15.9342155,15.84321566,15.93073394,0.988592,0.934018,0.868768,0.801812,0.736902,0.675136,0.618096,0.564842,0.515742,0.470386,0.42888,0.391326,0.356854,0.32495,0.296218,0.27034,0.246256,0.224592,0.204624,0.186336,0.169518,0.15446,0.140698,0.128238,0.116728,0.106264,0.096998,0.088502,0.080404,0.073232,0.066564,0.060558,0.055264,0.05032,0.045756,0.041812,0.038114,0.03467,0.031698,0.028946,0.026278,0.024006,0.021876,0.019906,0.018206,0.016584,0.987906,0.930716,0.863006,0.794122,0.72732,0.664226,0.605276,0.551188,0.501418,0.45625,0.414584,0.376572,0.341892,0.31032,0.281842,0.256244,0.232844,0.211436,0.192052,0.174346,0.158176,0.14393,0.130862,0.1191,0.108224,0.098228,0.08927,0.081238,0.07388,0.067026,0.060718,0.055278,0.050058,0.045552,0.041388,0.037606,0.034138,0.030988,0.028206,0.025684,0.023342,0.021254,0.01939,0.01755,0.01587,0.014504,18.21427849,17.36490089,16.87913919,16.55971225,16.32823361,16.20599109,16.11704007,16.04612617,15.9968046,15.93792332,15.93071722,15.91064228,15.9036805,15.93413756,15.94897677,15.96148554,15.97628484,15.91869702,15.90617914,15.89679933,15.90016399,15.89010747,15.88935166,15.7948346,15.83368172,15.85784461,15.82861502,15.79864862,15.80045769,15.86732576,15.77630551,15.83391129,15.80189635,15.91335453,15.92862138,15.83602793,15.85223278,15.96509951,15.84036848,15.7746148,15.82502474,15.88252937,15.91150119,15.95599317,15.9351862,15.95272552,18.17668685,17.30139591,16.82007541,16.50597767,16.28971292,16.14038294,16.05604385,16.02085314,15.98746754,15.93510575,15.89578469,15.89581275,15.88218502,15.89372905,15.92776094,15.91238039,15.89534624,15.91157608,15.94081811,15.98873504,15.98609144,15.98804975,16.01600159,15.99684299,16.02051301,15.98022967,15.89837571,15.87722494,15.9783974,15.8947871,15.96860898,15.9228988,15.95333413,15.92983843,15.9335073,15.83050577,15.89958404,15.9723764,15.98574771,15.90538857,15.89015509,15.84351181,15.86952037,15.88752137,15.9342155,15.84321566
4,5,0.979674,0.91159,0.841554,0.773992,0.709908,0.650048,0.594386,0.542748,0.495346,0.451272,0.411472,0.37505,0.342212,0.311398,0.28387,0.258596,0.235458,0.21426,0.195384,0.1779,0.162252,0.148092,0.135078,0.122946,0.112034,0.101884,0.092988,0.084618,0.077168,0.070478,0.064374,0.0588,0.053538,0.048884,0.044388,0.040402,0.036898,0.033556,0.030688,0.028028,0.025508,0.023296,0.021202,0.019296,0.017668,0.016126,0.978998,0.908468,0.835932,0.766098,0.70016,0.638632,0.581566,0.529292,0.481522,0.437672,0.397678,0.361776,0.328468,0.298266,0.270682,0.24562,0.223068,0.202878,0.184408,0.167336,0.151884,0.137916,0.125062,0.113416,0.103132,0.093634,0.085066,0.077188,0.070072,0.063786,0.057966,0.052616,0.047822,0.043522,0.039406,0.035712,0.032544,0.029488,0.026794,0.024312,0.022096,0.020048,0.01823,0.01667,0.015166,0.013782,17.56535746,16.9842868,16.62832807,16.40132715,16.24991971,16.13409779,16.05915011,15.99826439,15.97207205,15.95053538,15.93895575,15.92217038,15.89733265,15.86577306,15.84224469,15.8473913,15.8449405,15.86033791,15.85016173,15.87780776,15.90485171,15.86159955,15.8559647,15.88539684,15.95274649,15.91256723,15.91598916,15.92167151,15.93761663,15.88827719,15.83042843,15.84459184,15.82700138,15.79031994,15.79124989,15.83154299,15.79684536,15.82238646,15.81373827,15.80940488,15.91147875,15.92882898,15.93444015,15.84245439,15.68621236,15.75803051,17.51577838,16.9547524,16.63552299,16.38779112,16.24313871,16.15975711,16.06518263,16.04145538,16.00590627,15.98020892,15.93714513,15.9375691,15.91929199,15.93438072,15.93659719,15.93374318,15.93269317,15.91205552,15.90346406,15.90033227,15.88503068,15.92979785,15.89235739,15.97568244,15.9156033,15.92182327,15.91996802,15.92830492,15.95884233,15.82670178,15.94972915,15.9175536,15.85722053,15.92123524,15.95965081,16.09739023,16.03687316,16.05676886,15.99753676,16.01719316,16.01882694,16.06254988,15.97421832,15.99244151,15.88935777,15.81047743,0.979674,0.91159,0.841554,0.773992,0.709908,0.650048,0.594386,0.542748,0.495346,0.451272,0.411472,0.37505,0.342212,0.311398,0.28387,0.258596,0.235458,0.21426,0.195384,0.1779,0.162252,0.148092,0.135078,0.122946,0.112034,0.101884,0.092988,0.084618,0.077168,0.070478,0.064374,0.0588,0.053538,0.048884,0.044388,0.040402,0.036898,0.033556,0.030688,0.028028,0.025508,0.023296,0.021202,0.019296,0.017668,0.016126,0.978998,0.908468,0.835932,0.766098,0.70016,0.638632,0.581566,0.529292,0.481522,0.437672,0.397678,0.361776,0.328468,0.298266,0.270682,0.24562,0.223068,0.202878,0.184408,0.167336,0.151884,0.137916,0.125062,0.113416,0.103132,0.093634,0.085066,0.077188,0.070072,0.063786,0.057966,0.052616,0.047822,0.043522,0.039406,0.035712,0.032544,0.029488,0.026794,0.024312,0.022096,0.020048,0.01823,0.01667,0.015166,0.013782,17.56535746,16.9842868,16.62832807,16.40132715,16.24991971,16.13409779,16.05915011,15.99826439,15.97207205,15.95053538,15.93895575,15.92217038,15.89733265,15.86577306,15.84224469,15.8473913,15.8449405,15.86033791,15.85016173,15.87780776,15.90485171,15.86159955,15.8559647,15.88539684,15.95274649,15.91256723,15.91598916,15.92167151,15.93761663,15.88827719,15.83042843,15.84459184,15.82700138,15.79031994,15.79124989,15.83154299,15.79684536,15.82238646,15.81373827,15.80940488,15.91147875,15.92882898,15.93444015,15.84245439,15.68621236,15.75803051,17.51577838,16.9547524,16.63552299,16.38779112,16.24313871,16.15975711,16.06518263,16.04145538,16.00590627,15.98020892,15.93714513,15.9375691,15.91929199,15.93438072,15.93659719,15.93374318,15.93269317,15.91205552,15.90346406,15.90033227,15.88503068,15.92979785,15.89235739,15.97568244,15.9156033,15.92182327,15.91996802,15.92830492,15.95884233,15.82670178,15.94972915,15.9175536,15.85722053,15.92123524,15.95965081,16.09739023,16.03687316,16.05676886,15.99753676,16.01719316,16.01882694,16.06254988,15.97421832,15.99244151,15.88935777,15.81047743
