"extant_prop_after_5","extant_prop_after_6","extant_prop_after_7","extant_prop_after_8","extant_prop_after_9","extant_prop_after_5_var","extant_prop_after_6_var","extant_prop_after_7_var","extant_prop_after_8_var","extant_prop_after_9_var","N_after5","N_after6","N_after7","N_after8","N_after9","N_after5_var","N_after6_var","N_after7_var","N_after8_var","N_after9_var","extant_prop_1after","extant_prop_2after","extant_prop_3after","extant_prop_4after","extant_prop_5after","extant_prop_1after_var","extant_prop_2after_var","extant_prop_3after_var","extant_prop_4after_var","extant_prop_5after_var","N_1after","N_2after","N_3after","N_4after","N_5after","N_1after_var","N_2after_var","N_3after_var","N_4after_var","N_5after_var"
0.818448,0.751122,0.686786,0.627344,0.5725,0.809772,0.74109,0.675764,0.61492,0.5589,16.2313134127031,16.0929223215403,16.0010862189969,15.9384101864368,15.8888978165939,16.2535454424208,16.0811993145232,15.9853203189279,15.9483445000976,15.9297906602254,0.999726,0.987824,0.946376,0.885462,0.818448,0.999722,0.98687,0.942836,0.879446,0.809772,18.9778039182736,17.7706838465152,16.9557554291318,16.5000666318826,16.2313134127031,18.978067902877,17.7665609452106,16.9524562065937,16.5142396463228,16.2535454424208
0.865142,0.800346,0.735464,0.67365,0.6158,0.858376,0.790676,0.72449,0.662036,0.603256,16.8012834887221,16.4417514425011,16.2340291299098,16.0679581384992,15.9830204611887,16.7887196286942,16.4827969990236,16.2603679829949,16.1215100085192,16.0346950548358,0.998358,0.974572,0.92604,0.865142,0.800346,0.998244,0.972856,0.921834,0.858376,0.790676,19.6689884790827,18.2370558563144,17.3611204699581,16.8012834887221,16.4417514425011,19.6877897588165,18.2405700329751,17.3481668066051,16.7887196286942,16.4827969990236
0.934038,0.869098,0.802298,0.737352,0.675182,0.931174,0.864306,0.795444,0.728186,0.664696,17.3046107331822,16.802128183473,16.4665124430075,16.274769716499,16.1354301506853,17.2666784081171,16.7893477541519,16.4703511497981,16.2752236379167,16.1307755725926,0.98851,0.934038,0.869098,0.802298,0.737352,0.988092,0.931174,0.864306,0.795444,0.728186,18.1801337366339,17.3046107331822,16.802128183473,16.4665124430075,16.274769716499,18.1573659132955,17.2666784081171,16.7893477541519,16.4703511497981,16.2752236379167
0.98036,0.911416,0.842028,0.774012,0.710384,0.979606,0.908464,0.835576,0.76554,0.69915,17.5148720878045,16.9525419786354,16.5809973065029,16.3414908295995,16.1794240861281,17.4669142491981,16.8691417601578,16.5424114622727,16.2924523865507,16.1392004576986,0.98036,0.911416,0.842028,0.774012,0.710384,0.979606,0.908464,0.835576,0.76554,0.69915,17.5148720878045,16.9525419786354,16.5809973065029,16.3414908295995,16.1794240861281,17.4669142491981,16.8691417601578,16.5424114622727,16.2924523865507,16.1392004576986
